home_team,away_team,home_score,away_score,tournament,country,day,month,year,home_result,away_result,total_goals,serial,home_group,away_group,home_team_txt,away_team_txt,year_n,result,home_random,away_random,decade,home_result_desc,away_result_desc
Argentina,Mexico,3,1,FIFA World Cup,South Africa,27,6,2010,2,-2,4,3379,1,1,Argentina,Mexico,0,2,0.7788,0.86461,12,winner,loser
Germany,England,4,1,FIFA World Cup,South Africa,27,6,2010,3,-3,5,3380,1,1,Germany,England,0,3,0.20147,0.01134,12,winner,loser
Spain,Portugal,1,0,FIFA World Cup,South Africa,29,6,2010,1,-1,1,3381,1,1,Spain,Portugal,0,1,0.5499,0.40658,12,winner,loser
Netherlands,Brazil,2,1,FIFA World Cup,South Africa,2,7,2010,1,-1,3,3382,1,0,Netherlands,Brazil,0,1,0.31405,0.65241,12,winner,loser
Uruguay,Ghana,1,1,FIFA World Cup,South Africa,2,7,2010,0,0,2,3383,1,0,Uruguay,Ghana,0,0,0.05973,0.58325,12,draw,draw
Argentina,Germany,0,4,FIFA World Cup,South Africa,3,7,2010,-4,4,4,3384,1,1,Argentina,Germany,0,4,0.79056,0.73739,12,loser,winner
Uruguay,Netherlands,2,3,FIFA World Cup,South Africa,6,7,2010,-1,1,5,3385,1,1,Uruguay,Netherlands,0,1,0.22767,0.22471,12,loser,winner
Germany,Spain,0,1,FIFA World Cup,South Africa,7,7,2010,-1,1,1,3386,1,1,Germany,Spain,0,1,0.81542,0.55983,12,loser,winner
Uruguay,Germany,2,3,FIFA World Cup,South Africa,10,7,2010,-1,1,5,3387,1,1,Uruguay,Germany,0,1,0.48674,0.29567,12,loser,winner
Netherlands,Spain,0,1,FIFA World Cup,South Africa,11,7,2010,-1,1,1,3388,1,1,Netherlands,Spain,0,1,0.47164,0.95524,12,loser,winner
United States,Brazil,0,2,Friendly,United States,10,8,2010,-2,2,2,3389,0,0,United_States,Brazil,0,2,0.54902,0.4586,12,loser,winner
Denmark,Germany,2,2,Friendly,Denmark,11,8,2010,0,0,4,3390,1,1,Denmark,Germany,0,0,0.93549,0.32042,12,draw,draw
Mexico,Spain,1,1,Friendly,Mexico,11,8,2010,0,0,2,3391,1,1,Mexico,Spain,0,0,0.08291,0.64403,12,draw,draw
Poland,Cameroon,0,3,Friendly,Poland,11,8,2010,-3,3,3,3392,0,1,Poland,Cameroon,0,3,0.97423,0.52537,12,loser,winner
