team_a,team_b,team_a_ar,team_b_ar,draw,loser,winner,total,winning_perc,losing_perc,draw_perc,team_a_txt,team_b_txt
Tunisia,Senegal,تونس,السنغال,6,4,9,19,47,21,32,Tunisia,Senegal
Uruguay,Senegal,أوروغواي,السنغال,1,0,0,1,0,0,100,Uruguay,Senegal
Argentina,Serbia,الأرجنتين,صربيا,0,1,3,4,75,25,0,Argentina,Serbia
Australia,Serbia,أستراليا,صربيا,1,0,1,2,50,0,50,Australia,Serbia
Belgium,Serbia,بلجيكا,صربيا,1,2,3,6,50,33,17,Belgium,Serbia
Brazil,Serbia,البرازيل,صربيا,1,0,4,5,80,0,20,Brazil,Serbia
Cameroon,Serbia,الكاميرون,صربيا,0,1,0,1,0,100,0,Cameroon,Serbia
Costa Rica,Serbia,كوستا ريكا,صربيا,0,1,0,1,0,100,0,Costa_Rica,Serbia
Croatia,Serbia,كرواتيا,صربيا,3,0,2,5,40,0,60,Croatia,Serbia
Denmark,Serbia,الدنمارك,صربيا,0,0,3,3,100,0,0,Denmark,Serbia
Ecuador,Serbia,الاكوادور,صربيا,0,0,1,1,100,0,0,Ecuador,Serbia
England,Serbia,إنجلترا,صربيا,0,0,1,1,100,0,0,England,Serbia
France,Serbia,فرنسا,صربيا,2,0,4,6,67,0,33,France,Serbia
Germany,Serbia,ألمانيا,صربيا,2,1,2,5,40,20,40,Germany,Serbia
Ghana,Serbia,غانا,صربيا,0,1,1,2,50,50,0,Ghana,Serbia
Iran,Serbia,إيران,صربيا,0,1,0,1,0,100,0,Iran,Serbia
Japan,Serbia,اليابان,صربيا,0,4,4,8,50,50,0,Japan,Serbia
Mexico,Serbia,المكسيك,صربيا,1,2,1,4,25,50,25,Mexico,Serbia
Morocco,Serbia,المغرب,صربيا,0,0,1,1,100,0,0,Morocco,Serbia
Netherlands,Serbia,هولندا,صربيا,0,0,3,3,100,0,0,Netherlands,Serbia
Poland,Serbia,بولندا,صربيا,3,0,4,7,57,0,43,Poland,Serbia
Portugal,Serbia,البرتغال,صربيا,4,1,3,8,38,12,50,Portugal,Serbia
Qatar,Serbia,قطر,صربيا,0,2,1,3,33,67,0,Qatar,Serbia
South Korea,Serbia,كوريا الجنوبية,صربيا,4,3,2,9,22,33,44,South_Korea,Serbia
Spain,Serbia,إسبانيا,صربيا,3,0,3,6,50,0,50,Spain,Serbia
Switzerland,Serbia,سويسرا,صربيا,3,1,1,5,20,20,60,Switzerland,Serbia
Tunisia,Serbia,تونس,صربيا,0,2,0,2,0,100,0,Tunisia,Serbia
United States,Serbia,الولايات المتحدة ,صربيا,1,1,0,2,0,50,50,United_States,Serbia
Uruguay,Serbia,أوروغواي,صربيا,1,1,0,2,0,50,50,Uruguay,Serbia
Wales,Serbia,ويلز,صربيا,2,4,0,6,0,67,33,Wales,Serbia
Argentina,South Korea,الأرجنتين,كوريا الجنوبية,0,0,3,3,100,0,0,Argentina,South_Korea
Australia,South Korea,أستراليا,كوريا الجنوبية,11,8,9,28,32,29,39,Australia,South_Korea
Belgium,South Korea,بلجيكا,كوريا الجنوبية,1,0,3,4,75,0,25,Belgium,South_Korea
Brazil,South Korea,البرازيل,كوريا الجنوبية,0,1,6,7,86,14,0,Brazil,South_Korea
Cameroon,South Korea,الكاميرون,كوريا الجنوبية,2,3,0,5,0,60,40,Cameroon,South_Korea
Canada,South Korea,كندا,كوريا الجنوبية,1,2,2,5,40,40,20,Canada,South_Korea
